"File","Pattern","LineNumber","Line","Match"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","httpUrl","64","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","httpUrl","83","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","httpUrl","111","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","nextEnv","64","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","nextEnv","83","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\admin\OrdersManagement.tsx","nextEnv","111","const API_BASE_URL = process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\analytics\AnalyticsDashboard.tsx","fetch","84","const response = await fetch('/api/analytics/realtime');","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\analytics\AnalyticsDashboard.tsx","fetch","98","const response = await fetch(`/api/analytics/dashboard?timeframe=${timeframe}`);","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\analytics\ConversionMetrics.tsx","fetch","44","const response = await fetch(`/api/analytics/conversions?timeframe=${timeframe}`);","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\analytics\TrafficSourceChart.tsx","fetch","34","const response = await fetch(`/api/analytics/traffic-sources?timeframe=${timeframe}`);","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\auth\RegisterForm.tsx","fetch","74","// const response = await fetch('/api/auth/register', {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\cart\AddToCartButton.tsx","fetch","57","const response = await fetch(`${process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'}/api/products/${product.id}`)","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\cart\AddToCartButton.tsx","httpUrl","57","const response = await fetch(`${process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'}/api/products/${product.id}`)","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\cart\AddToCartButton.tsx","nextEnv","57","const response = await fetch(`${process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'}/api/products/${product.id}`)","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\cart\__tests__\AddToCartButton.test.tsx","httpUrl","73","`${process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'}/api/products/${mockProduct.id}`,","http://localhost"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\cart\__tests__\AddToCartButton.test.tsx","nextEnv","73","`${process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001'}/api/products/${mockProduct.id}`,","NEXT_PUBLIC_API_URL"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\checkout\CheckoutForm.tsx","fetch","116","const response = await fetch('/api/orders', {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\ErrorBoundary.tsx","fetch","35","fetch('/api/analytics/errors', {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\ErrorBoundary.tsx","fetch","136","fetch('/api/analytics/errors', {","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","fetch","217","'products:featured': () => fetch('/api/products?featured=true').then(r => r.json()),","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","fetch","218","'categories:main': () => fetch('/api/categories?main=true').then(r => r.json()),","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","fetch","219","'settings:site': () => fetch('/api/settings').then(r => r.json()),","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","fetch","223","function deduplicatedFetch(key: string, fetcher: () => Promise<any>) {","Fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","fetch","238","deduplicatedFetch(key, () =>","Fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","fetch","239","cacheService.cachedFetch(key, loader, 10 * 60 * 1000) // 10 minutes TTL","Fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","httpUrl","158","'https://fonts.googleapis.com',","https://fonts.googleapis.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","httpUrl","159","'https://www.google-analytics.com',","https://www.google-analytics.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\common\PerformanceOptimizer.tsx","httpUrl","160","'https://js.stripe.com',","https://js.stripe.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\seo\SEOHead.tsx","httpUrl","30","const baseUrl = process.env.NEXT_PUBLIC_BASE_URL || 'https://mjchauffage.com'","https://mjchauffage.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\seo\SEOHead.tsx","httpUrl","94","const baseUrl = process.env.NEXT_PUBLIC_BASE_URL || 'https://mjchauffage.com'","https://mjchauffage.com"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\seo\StructuredData.tsx","httpUrl","124","availability: data.inStock ? 'https://schema.org/InStock' : 'https://schema.org/OutOfStock',","https://schema.org"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\components\seo\StructuredData.tsx","httpUrl","180","'@context': 'https://schema.org',","https://schema.org"
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\hooks\useCart.ts","fetch","108","const response = await fetch(`${API_BASE_URL}/api/products/${productId}`);","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\hooks\useCart.ts","fetch","135","const response = await fetch(`${API_BASE_URL}/api/products/${productId}`);","fetch("
"C:\Users\youcefcheriet\MJCHAUFFAGE\frontend\src\hooks\useCart.ts","httpUrl","12","process.env.NEXT_PUBLIC_API_URL || 'http://localhost:3001';","http://localhost"
